filename,label,span_start,span_end,span_text,code
es-S0210-56912007000900007-3,ENFERMEDAD,164,166,DM,73211009
es-S0210-56912007000900007-3,ENFERMEDAD,362,376,deshidratación,34095006
es-S0210-56912007000900007-3,ENFERMEDAD,575,590,hiperamilasemia,275739007
es-S0210-56912007000900007-3,ENFERMEDAD,715,733,pancreatitis aguda,197456007
es-S0210-56912007000900007-3,ENFERMEDAD,1402,1459,formación polipoidea sésil situada junto al esfínter anal,88580009
es-S0210-56912007000900007-3,ENFERMEDAD,1526,1550,adenoma velloso de recto,312823001
es-S0210-56912007000900007-3,ENFERMEDAD,1669,1676,adenoma,443416007
es-S0210-48062010000100019-3,ENFERMEDAD,43,62,artritis reumatoide,69896004
es-S0210-48062010000100019-3,ENFERMEDAD,144,160,íleo suboclusivo,81060008
es-S0210-48062010000100019-3,ENFERMEDAD,366,381,coágulo vesical,42643001
es-S0210-48062010000100019-3,ENFERMEDAD,759,785,fisura en la pared vesical,42643001
es-S0210-48062010000100019-3,ENFERMEDAD,1086,1116,alteración hemodinámica severa,422773005
es-S0365-66912008000100007-2,ENFERMEDAD,144,170,agenesia de cuerpo calloso,5102002
es-S0365-66912008000100007-2,ENFERMEDAD,190,224,anomalías de la migración neuronal,253146009
es-S0365-66912008000100007-2,ENFERMEDAD,249,258,epilepsia,84757009
es-S0365-66912008000100007-2,ENFERMEDAD,532,586,lagunas coriorretinianas hipopigmentadas peripapilares,302893000
es-S0365-66912008000100007-2,ENFERMEDAD,818,858,malformaciones a nivel renal o vertebral,90708001+410730009
es-S0365-66912008000100007-2,ENFERMEDAD,978,1007,retardo psicomotor muy severo,110359009
es-S0365-66912006000600010-2,ENFERMEDAD,53,80,pérdida de visión bilateral,105597003
es-S0365-66912006000600010-2,ENFERMEDAD,247,256,epilepsia,84757009
es-S0365-66912006000600010-2,ENFERMEDAD,397,423,escotoma central bilateral,346991000119107
es-S0365-66912006000600010-2,ENFERMEDAD,460,481,maculopatía bilateral,15998351000119102
es-S0365-66912006000600010-2,ENFERMEDAD,570,587,pérdida de visión,267631003
es-S0365-66912009000300010-1,ENFERMEDAD,2148,2156,diplopía,24982008
es-S0365-66912009000300010-1,ENFERMEDAD,1803,1831,diplopía en la visión lejana,24982008
es-S0365-66912009000300010-1,ENFERMEDAD,1425,1444,vasculitis cerebral,427020007
es-S0365-66912009000300010-1,ENFERMEDAD,1865,1901,parálisis del VI par craneal derecho,398760006
es-S0365-66912009000300010-1,ENFERMEDAD,209,222,cuadro gripal,6142004
es-S0365-66912009000300010-1,ENFERMEDAD,1587,1597,vasculitis,31996006
es-S0365-66912009000300010-1,ENFERMEDAD,2118,2126,diplopía,24982008
es-S0365-66912009000300010-1,ENFERMEDAD,599,604,EPPMA,89188001
es-S0365-66912009000300010-1,ENFERMEDAD,485,554,lesiones confluentes blanco-grisáceas en polo posterior en ambos ojos,262756006
es-S0365-66912009000300010-1,ENFERMEDAD,918,926,lesiones,157670007
es-S1889-836X2016000100006-1,ENFERMEDAD,189,198,fracturas,125605004
es-S1889-836X2016000100006-1,ENFERMEDAD,754,766,osteoporosis,64859006
es-S1889-836X2016000100006-1,ENFERMEDAD,43,45,OI,78314001
es-S1889-836X2016000100006-1,ENFERMEDAD,1643,1645,OI,78314001
es-S1889-836X2016000100006-1,ENFERMEDAD,1037,1062,dentinogénesis imperfecta,196286005
es-S1889-836X2016000100006-1,ENFERMEDAD,1078,1100,deformidades torácicas,444693004
es-S1889-836X2016000100006-1,ENFERMEDAD,1779,1811,cambios degenerativos en columna,699699005
es-S1889-836X2016000100006-1,ENFERMEDAD,385,411,fracturas en codo y hombro,309464009+16250001000004107
es-S1889-836X2016000100006-1,ENFERMEDAD,1560,1572,osteoporosis,64859006
es-S1889-836X2016000100006-1,ENFERMEDAD,1982,1996,litiasis renal,95570007
es-S1889-836X2016000100006-1,ENFERMEDAD,572,581,esguinces,398878007
es-S1889-836X2016000100006-1,ENFERMEDAD,591,609,roturas musculares,262966007
es-S1889-836X2016000100006-1,ENFERMEDAD,628,641,otoesclerosis,11543004
es-S1889-836X2016000100006-1,ENFERMEDAD,1707,1724,impresión basilar,86587003
es-S1889-836X2016000100006-1,ENFERMEDAD,272,315,"traumatismos mínimos, la primera del húmero",428192009
es-S1889-836X2016000100006-1,ENFERMEDAD,1006,1021,escleras azules,204164000
es-S1889-836X2016000100006-1,ENFERMEDAD,1198,1210,hiperlaxitud,239762007
es-S1889-836X2016000100006-1,ENFERMEDAD,1849,1882,dilatación de la aorta ascendente,253645007
es-S1889-836X2016000100006-1,ENFERMEDAD,2157,2225,gen COL1A1 una deleción en heterocigosis de una Guanina (c.3524delG),737543005
es-S1130-05582013000400006-1,ENFERMEDAD,973,988,lesión vascular,699605009
es-S1130-05582013000400006-1,ENFERMEDAD,1908,1937,malformación venosa intraósea,764100007
es-S1130-05582013000400006-1,ENFERMEDAD,569,583,lesión medular,146251000146109
es-S1130-05582013000400006-1,ENFERMEDAD,1724,1744,hemangioma intraóseo,685021000119103
es-S1130-05582013000400006-1,ENFERMEDAD,203,214,traumatismo,417746004
es-S1130-05582013000400006-1,ENFERMEDAD,254,260,lesión,417163006
es-S1130-05582013000400006-1,ENFERMEDAD,428,483,"lesión malar expansiva, polilobulada, con calcificación",126546006
es-S1130-05582013000400006-1,ENFERMEDAD,751,775,lesión osteolítica malar,128227001
es-S1139-76322013000400008-1,ENFERMEDAD,563,601,hipertrofia de las amígdalas palatinas,46689006
es-S1139-76322013000400008-1,ENFERMEDAD,203,233,lesiones habonosas diseminadas,64305001
es-S1139-76322013000400008-1,ENFERMEDAD,238,248,angioedema,41291007
es-S1139-76322015000400008-1,ENFERMEDAD,754,808,dilatación de pelvis renal derecha grado leve-moderada,197820003
es-S1139-76322015000400008-1,ENFERMEDAD,371,391,adenitis mesentérica,44897000
es-S1139-76322015000400008-1,ENFERMEDAD,398,437,dilatación de pelvis renal derecha leve,197820003
es-S1139-76322015000400008-1,ENFERMEDAD,183,203,infecciones de orina,68566005
es-S1139-76322015000400008-1,ENFERMEDAD,455,474,estenosis de la UPU,25341005
es-S1139-76322015000400008-1,ENFERMEDAD,866,901,estenosis de la unión pieloureteral,36388008
es-S1139-76322015000400008-1,ENFERMEDAD,930,958,ectasia obstructiva en riñón,7163005
